# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 0.005, 1., 19.366079
2, 1.838603, 0.003, 1.66666666667, 19.366079
3, 2.551965, 0.002, 2.5, 19.366079
4, 3.166193, 0.003, 1.66666666667, 19.366079
5, 3.700608, 0.003, 1.66666666667, 19.366079
6, 4.169818, 0.002, 2.5, 19.366079
7, 4.58507, 0.002, 2.5, 19.366079
8, 4.955167, 0.002, 2.5, 19.366079
9, 5.287093, 0.002, 2.5, 19.366079
10, 5.586464, 0.002, 2.5, 19.366079
11, 5.857845, 0.003, 1.66666666667, 19.366079
12, 6.104988, 0.001, 5., 19.366079
13, 6.331, , , 19.366079
14, 6.538479, , , 19.366079
15, 6.729617, , , 19.366079
16, 6.90627, , , 19.366079
