# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 0.236, 1., 13.57654
2, 1.777437, 0.107, 2.20560747664, 13.57654
3, 2.399171, 0.078, 3.02564102564, 13.57654
4, 2.907721, 0.058, 4.06896551724, 13.57654
5, 3.331414, 0.051, 4.62745098039, 13.57654
6, 3.689855, 0.047, 5.02127659574, 13.57654
7, 3.99704, 0.045, 5.24444444444, 13.57654
8, 4.263229, 0.041, 5.75609756098, 13.57654
9, 4.496115, 0.038, 6.21052631579, 13.57654
10, 4.701581, 0.037, 6.37837837838, 13.57654
11, 4.8842, 0.038, 6.21052631579, 13.57654
12, 5.047582, 0.072, 3.27777777778, 13.57654
13, 5.194614, , , 13.57654
14, 5.327634, , , 13.57654
15, 5.448554, , , 13.57654
16, 5.558953, , , 13.57654
