# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 3.155979
2, 1.299832, , , 3.155979
3, 1.444168, , , 3.155979
4, 1.529063, , , 3.155979
5, 1.584967, , , 3.155979
6, 1.624563, , , 3.155979
7, 1.65408, , , 3.155979
8, 1.67693, , , 3.155979
9, 1.695145, , , 3.155979
10, 1.710003, , , 3.155979
11, 1.722356, , , 3.155979
12, 1.732786, , , 3.155979
13, 1.741712, , , 3.155979
14, 1.749435, , , 3.155979
15, 1.756185, , , 3.155979
16, 1.762133, , , 3.155979
