# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 7.302005
2, 1.622306, , , 7.302005
3, 2.046908, , , 7.302005
4, 2.355105, , , 7.302005
5, 2.588995, , , 7.302005
6, 2.772562, , , 7.302005
7, 2.920467, , , 7.302005
8, 3.042184, , , 7.302005
9, 3.144103, , , 7.302005
10, 3.230689, , , 7.302005
11, 3.305162, , , 7.302005
12, 3.369896, , , 7.302005
13, 3.426686, , , 7.302005
14, 3.476908, , , 7.302005
15, 3.52164, , , 7.302005
16, 3.561736, , , 7.302005
