# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 51.241063
2, 1.935778, , , 51.241063
3, 2.813327, , , 51.241063
4, 3.63792, , , 51.241063
5, 4.414208, , , 51.241063
6, 5.146316, , , 51.241063
7, 5.837911, , , 51.241063
8, 6.492265, , , 51.241063
9, 7.112307, , , 51.241063
10, 7.700668, , , 51.241063
11, 8.259714, , , 51.241063
12, 8.791584, , , 51.241063
13, 9.298212, , , 51.241063
14, 9.781354, , , 51.241063
15, 10.242605, , , 51.241063
16, 10.68342, , , 51.241063
