# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 18.657918
2, 1.832989, , , 18.657918
3, 2.537581, , , 18.657918
4, 3.141339, , , 18.657918
5, 3.664463, , , 18.657918
6, 4.122095, , , 18.657918
7, 4.525809, , , 18.657918
8, 4.884605, , , 18.657918
9, 5.205583, , , 18.657918
10, 5.494423, , , 18.657918
11, 5.755723, , , 18.657918
12, 5.993241, , , 18.657918
13, 6.210084, , , 18.657918
14, 6.408837, , , 18.657918
15, 6.591674, , , 18.657918
16, 6.760434, , , 18.657918
