# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 0.07, 1., 23.239807
2, 1.863672, 0.044, 1.59090909091, 23.239807
3, 2.617114, 0.028, 2.5, 23.239807
4, 3.280164, 0.02, 3.5, 23.239807
5, 3.868169, 0.016, 4.375, 23.239807
6, 4.393185, 0.014, 5., 23.239807
7, 4.86482, 0.017, 4.11764705882, 23.239807
8, 5.290822, 0.02, 3.5, 23.239807
9, 5.677507, 0.02, 3.5, 23.239807
10, 6.030079, 0.021, 3.33333333333, 23.239807
11, 6.35286, 0.018, 3.88888888889, 23.239807
12, 6.649475, 0.017, 4.11764705882, 23.239807
13, 6.92298, , , 23.239807
14, 7.175975, , , 23.239807
15, 7.410683, , , 23.239807
16, 7.629019, , , 23.239807
