# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 0.003, 1., 10.747065
2, 1.726843, 0.001, 3., 10.747065
3, 2.279002, 0.001, 3., 10.747065
4, 2.712695, 0.001, 3., 10.747065
5, 3.062354, 0.001, 3., 10.747065
6, 3.350245, 0.001, 3., 10.747065
7, 3.591408, 0.001, 3., 10.747065
8, 3.796365, 0.001, 3., 10.747065
9, 3.9727, 0.001, 3., 10.747065
10, 4.126018, 0.002, 1.5, 10.747065
11, 4.260549, 0.001, 3., 10.747065
12, 4.379546, 0.001, 3., 10.747065
13, 4.485554, , , 10.747065
14, 4.580589, , , 10.747065
15, 4.666271, , , 10.747065
16, 4.743916, , , 10.747065
