# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 197.184094
2, 1.982905, , , 197.184094
3, 2.949149, , , 197.184094
4, 3.899152, , , 197.184094
5, 4.83332, , , 197.184094
6, 5.752047, , , 197.184094
7, 6.655711, , , 197.184094
8, 7.544681, , , 197.184094
9, 8.419311, , , 197.184094
10, 9.279946, , , 197.184094
11, 10.126919, , , 197.184094
12, 10.960553, , , 197.184094
13, 11.781161, , , 197.184094
14, 12.589045, , , 197.184094
15, 13.384499, , , 197.184094
16, 14.167808, , , 197.184094
