# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 1860.996792
2, 1.998175, , , 1860.996792
3, 2.994529, , , 1860.996792
4, 3.989068, , , 1860.996792
5, 4.981797, , , 1860.996792
6, 5.97272, , , 1860.996792
7, 6.961843, , , 1860.996792
8, 7.94917, , , 1860.996792
9, 8.934706, , , 1860.996792
10, 9.918456, , , 1860.996792
11, 10.900426, , , 1860.996792
12, 11.880619, , , 1860.996792
13, 12.859041, , , 1860.996792
14, 13.835696, , , 1860.996792
15, 14.81059, , , 1860.996792
16, 15.783726, , , 1860.996792
