# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 24.475027
2, 1.870105, , , 24.475027
3, 2.634081, , , 24.475027
4, 3.310229, , , 24.475027
5, 3.912871, , , 24.475027
6, 4.453375, , , 24.475027
7, 4.940881, , , 24.475027
8, 5.38282, , , 24.475027
9, 5.785295, , , 24.475027
10, 6.153365, , , 24.475027
11, 6.491263, , , 24.475027
12, 6.802551, , , 24.475027
13, 7.090254, , , 24.475027
14, 7.356955, , , 24.475027
15, 7.604872, , , 24.475027
16, 7.835922, , , 24.475027
