# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 596.189836
2, 1.994313, , , 596.189836
3, 2.982988, , , 596.189836
4, 3.966073, , , 596.189836
5, 4.943614, , , 596.189836
6, 5.915659, , , 596.189836
7, 6.882254, , , 596.189836
8, 7.843444, , , 596.189836
9, 8.799275, , , 596.189836
10, 9.749791, , , 596.189836
11, 10.695037, , , 596.189836
12, 11.635057, , , 596.189836
13, 12.569892, , , 596.189836
14, 13.499587, , , 596.189836
15, 14.424184, , , 596.189836
16, 15.343724, , , 596.189836
