# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 3.710164
2, 1.371553, , , 3.710164
3, 1.565434, , , 3.710164
4, 1.684493, , , 3.710164
5, 1.765036, , , 3.710164
6, 1.823152, , , 3.710164
7, 1.867063, , , 3.710164
8, 1.901409, , , 3.710164
9, 1.92901, , , 3.710164
10, 1.951674, , , 3.710164
11, 1.970617, , , 3.710164
12, 1.986687, , , 3.710164
13, 2.00049, , , 3.710164
14, 2.012475, , , 3.710164
15, 2.022978, , , 3.710164
16, 2.032259, , , 3.710164
