# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 5961.993888
2, 1.99943, , , 5961.993888
3, 2.99829, , , 5961.993888
4, 3.996581, , , 5961.993888
5, 4.994304, , , 5961.993888
6, 5.991458, , , 5961.993888
7, 6.988045, , , 5961.993888
8, 7.984064, , , 5961.993888
9, 8.979517, , , 5961.993888
10, 9.974403, , , 5961.993888
11, 10.968724, , , 5961.993888
12, 11.962479, , , 5961.993888
13, 12.95567, , , 5961.993888
14, 13.948296, , , 5961.993888
15, 14.940359, , , 5961.993888
16, 15.931858, , , 5961.993888
