# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 1.618904
2, 0.975565, , , 1.618904
3, 0.967684, , , 1.618904
4, 0.963791, , , 1.618904
5, 0.96147, , , 1.618904
6, 0.959929, , , 1.618904
7, 0.958831, , , 1.618904
8, 0.958009, , , 1.618904
9, 0.957371, , , 1.618904
10, 0.956861, , , 1.618904
11, 0.956444, , , 1.618904
12, 0.956097, , , 1.618904
13, 0.955804, , , 1.618904
14, 0.955553, , , 1.618904
15, 0.955335, , , 1.618904
16, 0.955144, , , 1.618904
