# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 0.378, 1., 23.458702
2, 1.864858, 0.213, 1.77464788732, 23.458702
3, 2.620235, 0.289, 1.30795847751, 23.458702
4, 3.285682, 0.208, 1.81730769231, 23.458702
5, 3.876356, 0.173, 2.18497109827, 23.458702
6, 4.404191, 0.15, 2.52, 23.458702
7, 4.878706, 0.142, 2.66197183099, 23.458702
8, 5.307593, 0.117, 3.23076923077, 23.458702
9, 5.697132, 0.127, 2.97637795276, 23.458702
10, 6.052499, 0.121, 3.12396694215, 23.458702
11, 6.378003, 0.12, 3.15, 23.458702
12, 6.677256, 0.111, 3.40540540541, 23.458702
13, 6.953309, , , 23.458702
14, 7.208762, , , 23.458702
15, 7.445836, , , 23.458702
16, 7.666446, , , 23.458702
