# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., 0.018, 1., 13.36864
2, 1.774366, 0.011, 1.63636363636, 13.36864
3, 2.391722, 0.007, 2.57142857143, 13.36864
4, 2.895425, 0.009, 2., 13.36864
5, 3.314215, 0.009, 2., 13.36864
6, 3.667893, 0.004, 4.5, 13.36864
7, 3.970551, 0.007, 2.57142857143, 13.36864
8, 4.232484, 0.007, 2.57142857143, 13.36864
9, 4.461395, 0.004, 4.5, 13.36864
10, 4.663158, 0.004, 4.5, 13.36864
11, 4.842332, 0.006, 3., 13.36864
12, 5.00251, 0.009, 2., 13.36864
13, 5.14656, , , 13.36864
14, 5.276801, , , 13.36864
15, 5.395129, , , 13.36864
16, 5.503106, , , 13.36864
